"Title","Shop","Monthly Trend","Monthly Revenue","Monthly Sales","Conversion","Price","Date Listed","Reviews","Favorites","Views","Type","Rating","Title Length","Feature Rank","Tags Count","Customizable","Personalizable","Variants","Processing Time","Auto Renew","Digital Listings","Date Made","Maker","Supply item","Shop Sales","Shop Age","Location","Age","Category","Outlier"
Tracing Book bundle for Remarkable  paper pro and remarkable 2 devices | templates for remarkable |  planners for remarkable paper pro e-ink,toffiyaah,+100%,$20.543,15,4.0,$1.397,"Apr 15, 2025",18,167,3.288,download,3.9,140,-1,13,No,No,No,N/A,Yes,284,2020_2026,i_did,No,5.383,"Jun 28, 2020",US,15,Planner Templates,14
2026 BIG Journal Bundle - PRINTABLE Journal Pages - Digital Planner Pages - A5 & A4 Size - 2026 Journal - Digital Download - 194 Pages,LittleBirdieCanada,-30%,$16.813,567,4.1,$30,"Oct 9, 2025",828,4.707,366.769,download,4.9,134,1,13,No,No,No,N/A,No,983,2020_2026,i_did,No,407.126,"Jan 29, 2023",CA,9,Planner Templates,37
"Emergency Binder Planner Fillable Printable PDF, What If Binder Bundle, Just In Case of Emergency Digital Organizer, End of Life Planner",ByOrganizedDigitally,+100%,$16.051,25,4.7,$640,"May 27, 2024",75,1.088,20.076,download,4.9,136,1,13,No,No,No,N/A,Yes,13,2007_2009,i_did,No,1.367,"Jun 03, 2024",PH,25,Binders & Covers,9
Ultimate Annual Budget Spreadsheet Excel Google Sheets Budget Template Monthly Budget Tracker Financial Planner Bill Tracker Debt Tracker,PrioriDigitalStudio,-8%,$13.976,707,3.0,$20,"Oct 10, 2024",1.359,12.972,693.760,download,4.8,137,N/A,13,No,No,No,N/A,Yes,237,2007_2009,i_did,No,166.351,"Mar 18, 2023",CA,21,Personal Finance Templates,30
"Portrait Digital Planner 2026 2027 2028 & Undated, Goodnotes Planner, Daily Planner, Weekly Planner, Notability Planner, iPad Planner",KatacosmicDesign,-38%,$6.798,99,1.1,$69,"Nov 21, 2023",255,6.640,275.467,download,4.5,133,3,13,No,No,No,N/A,Yes,445,2007_2009,i_did,No,52.817,"Jun 13, 2021",US,31,Planner Templates,26
"Work Planner: Printable, Office Organizer, Work Management, Freelancer, Productivity, Business",OriginalandcrDesigns,+100%,$6.595,21,1.4,$320,"Dec 8, 2024",11,381,8.356,download,4.5,94,N/A,13,No,No,No,N/A,Yes,26,2006_2009,i_did,No,773,"Apr 27, 2023",US,19,Planner Templates,4
PLR Spreadsheets Bundle Commercial Use PLR Google Sheets Bundle Resell Rights PLR Template Budget Spreadsheet Debt Tracker Bill Calendar,PrioriDigitalStudio,0%,$6.511,15,1.2,$423,"Dec 8, 2023",14,357,18.335,download,5.0,136,-1,13,No,No,No,N/A,Yes,237,2007_2009,i_did,No,166.351,"Mar 18, 2023",CA,31,Templates,0
Wedding Planner Spreadsheet Wedding Budget Tracker Wedding Timeline Checklist Guest List Tracker Wedding Itinerary Seating Plan Wedding Gift,PrioriDigitalStudio,+64%,$6.489,354,3.4,$18,"Mar 24, 2024",1.075,11.656,490.343,download,4.6,140,2,13,No,No,No,N/A,Yes,237,2007_2009,i_did,No,166.351,"Mar 18, 2023",CA,27,Templates,24
"SHOP BUNDLE 2026, 2027 Digital Planner GoodNotes iPad Template Android Notability Journal Stickers Printables & Inserts",LetsPlanPlanners,-22%,$6.196,125,2.0,$49,"Nov 21, 2023",787,10.130,344.758,download,4.9,119,N/A,13,No,No,No,N/A,Yes,350,2007_2009,i_did,No,50.791,"Jul 08, 2021",US,31,Planner Templates,49
"Wedding Planning Spreadsheet - Google Sheets Template | Budget Tracker, Checklist, Seating Chart, Timeline, Tips | Blue Digital Planner",SkylerAnneOlson,-18%,$5.700,98,2.7,$58,"Jun 10, 2025",132,1.051,53.260,download,4.9,135,N/A,13,No,No,No,N/A,Yes,53,2020_2026,i_did,Yes,16.566,"Jul 06, 2023",US,13,Templates,5
