"Title","Shop","Monthly Trend","Monthly Revenue","Monthly Sales","Conversion","Price","Date Listed","Reviews","Favorites","Views","Type","Rating","Title Length","Feature Rank","Tags Count","Customizable","Personalizable","Variants","Processing Time","Auto Renew","Digital Listings","Date Made","Maker","Supply item","Shop Sales","Shop Age","Location","Age","Category","Outlier"
Custom Seersucker Makeup Bag Vacation Travel Pouch Personalized Chenille Name Toiletry Bag Bridesmaid Gift Teacher Gift for Her,KukiDesignerToys,-40%,$38.309,3.831,6.6,$10,"Apr 2, 2026",1.140,9.135,219.070,physical,4.9,127,2,13,No,Yes,Yes,5,Yes,0,made_to_order,i_did,No,19.028,"Sep 08, 2025",US,3,Cosmetic Bags,50
"Personalized Seersucker Makeup Bag, Chenille Name Cosmetic Pouch, Travel Toiletry Bag, Gift for Her",FifiWedding,+162%,$32.757,3.391,3.4,$10,"Apr 29, 2026",313,6.108,137.480,physical,4.8,99,14,13,No,Yes,Yes,1,Yes,0,made_to_order,i_did,No,25.289,"May 23, 2024",GB,2,Cosmetic Bags,20
"Personalized Custom Name Ring, Dainty Name Ring, Engraved Ring, Name Jewelry, 14K Solid Gold Name Ring, Ring for Women, Gift For Her",StayChicJewelry,+115%,$109.078,2.727,2.0,$40,"Aug 18, 2025",1.928,28.364,642.878,physical,4.8,132,1,13,No,Yes,Yes,1,Yes,0,made_to_order,i_did,No,97.405,"Oct 01, 2022",US,11,Stackable Rings,21
Custom Vinyl Stickers / Die Cut Stickers / Logo Stickers /,ChloeCustomDesign,-16%,$1.443,2.445,5.7,$1,"Oct 4, 2023",14.073,19.487,1.296.102,physical,4.9,58,N/A,13,No,Yes,Yes,1,Yes,1,made_to_order,i_did,No,183.866,"Jun 11, 2020",US,33,Stickers,38
Budget Planner Google Sheet Monthly Budget Spreadsheet Paycheck Budget Template Simple Weekly Financial Planner Beginners Biweekly Budgeting,ExclusiveDesignLab,0%,$4.840,2.445,6.9,$2,"Nov 25, 2023",2.934,12.074,729.270,download,4.8,140,-1,13,No,No,No,N/A,No,421,2007_2009,i_did,No,194.766,"Jan 14, 2023",IN,31,Templates,108
"Custom Tote Bag, Bridesmaid GiftsTote Bag, Embroidered Canvas Tote Bag with Initials, Bridal Shower, Personalized Gifts, Bachelorette Gifts",AnselMaggieShop,+36%,$8.071,2.038,2.3,$4,"May 30, 2025",691,7.816,331.756,physical,4.8,139,1,13,No,Yes,Yes,1,Yes,0,made_to_order,i_did,No,110.211,"Dec 16, 2020",HK,13,Bridesmaids' Gifts,7
"Comfort Colors®Custom Photo Shirt, Personalized T-Shirt, Custom Picture Tshirt, Your Photo Shirt, Family Picture Tee, Logo Image Shirts Gift",DapperCustomTees,+25%,$25.009,2.004,5.0,$12,"Jun 14, 2025",2.640,3.091,282.471,physical,4.9,140,-1,13,No,Yes,Yes,1,Yes,0,made_to_order,i_did,No,117.135,"Aug 22, 2023",US,13,T-shirts,760
"Personalized Mens Bracelet, Husband Gift, Stainless Steel Bracelet For Dad With Kids Name, Family Name Bracelet, Personalize Daddy Bracelet",AllhisGifts,+17%,$177.584,1.981,4.4,$90,"Feb 19, 2026",480,3.827,99.974,physical,4.7,139,-1,13,No,Yes,Yes,1,Yes,0,made_to_order,i_did,No,6.163,"Nov 17, 2025",US,5,Beaded Bracelets,80
"Personalized beach tote bags, Crochet beach bags, Bridesmaid gift bags, Travel Beach Bag, Wedding favor gift, Bachelorette Trip Gift for Her",ConyersBoutique,-51%,$22.705,1.979,4.1,$11,"Jan 30, 2026",758,15.241,292.162,physical,4.8,140,3,13,No,Yes,Yes,14,Yes,0,made_to_order,i_did,No,16.580,"May 27, 2025",US,5,Party Favors,17
"Personalized Turkish Beach Towel, Bridesmaid gifts, Bachelorette Party Favors, Wedding Gift",WeddingGiftTowels,+97%,$22.899,1.908,5.3,$12,"May 6, 2024",2.913,12.670,470.710,physical,4.9,91,23,13,No,Yes,Yes,1,Yes,0,2020_2026,i_did,No,56.721,"May 17, 2023",US,26,Beach Towels,131
