"Shop Name","Monthly Trend","Monthly Revenue","Monthly Sales","Age","Listings","New Listings","Conversion","Reviews","Rating","Review Rate","Favorites","Views","Digital Listings","Location","Currency","Age in Months","Primary Category","Secondary Category","#"
LadiesAndGentsBands,1.1,$231.633,932,"Oct 3, 2019",577,9,1.3%,20.088,5.0,29.2%,244.909,"5,338,271",0,US,USD,81mo,Bands,Wedding Bands,4.314
OuferJewelry,-0.7,$227.583,"12,105","Nov 15, 2019","2,395",201,1.8%,123.013,4.8,18.0%,1.821.449,"32,629,640",0,US,USD,80mo,Stud Earrings,Hoop Earrings,51
AllhisGifts,7.1,$208.620,"2,368","Nov 17, 2025",111,82,4.3%,669,4.7,10.9%,4.982,"130,230",0,US,USD,8mo,Beaded Bracelets,-,32.265
SamiJEWELS,-2.9,$199.997,"3,695","Feb 25, 2016","1,615",49,1.5%,130.756,4.9,24.6%,1.710.643,"31,149,686",1,US,USD,124mo,Stackable Rings,Hoop Earrings,86
LenokLINENcom,23.3,$192.037,"1,613","Feb 26, 2013",316,0,1.2%,37.137,4.8,22.0%,491.339,"13,234,139",0,BY,USD,160mo,Dresses,Tops & Tees,855
BOSPHORUSGOLD,30.4,$189.148,431,"May 22, 2021",330,7,0.4%,13.170,4.7,29.3%,189.397,"11,207,026",0,US,USD,61mo,Chains,Statement Rings,7.979
SonaMade,-1.7,$182.422,"7,235","Jun 19, 2025",281,13,4.0%,7.847,4.9,11.4%,31.417,"1,709,658",3,GB,GBP,13mo,Shoulder Bags,Baskets,4.461
BalajiJewellersGifts,38.1,$173.515,"3,674","Sep 13, 2020","3,112",229,2.2%,13.339,4.5,21.6%,222.285,"2,672,690",0,IN,USD,70mo,Statement Rings,Pendant Necklaces,5.040
StayChicJewelry,34.2,$169.497,"3,923","Oct 1, 2022",153,0,2.3%,14.252,4.8,14.6%,132.692,"4,149,714",0,US,USD,45mo,Monogram & Name Necklaces,Pendant Necklaces,2.472
IndianArtIdea,16.2,$158.713,"1,792","Jul 11, 2019",805,0,1.8%,1.468,4.7,15.6%,34.427,"561,222",0,IN,USD,84mo,Bandanas,Cover-Ups,29.164
spellsbykora,30.9,$156.060,"2,447","Jun 17, 2024",41,7,11.7%,753,4.7,4.7%,2.644,"84,542",10,GB,GBP,25mo,Guides & How Tos,Literature & Fiction,22.850
NoltersGold,3.4,$155.846,426,"Mar 18, 2021",673,27,0.3%,8.680,4.8,26.0%,214.564,"9,231,470",0,US,USD,64mo,Statement Rings,Pendant Necklaces,11.550
SunshineGreens,15.3,$154.308,"5,819","Jan 14, 2022","1,457",6,1.8%,81.032,4.2,22.3%,874.917,"18,418,360",0,US,USD,54mo,House Plants,Indoor Planters,188
CradleArtStore,6.3,$148.793,"3,376","Apr 18, 2024",192,28,3.3%,5.877,4.8,13.6%,34.898,"1,232,873",0,US,USD,27mo,Baskets,Backpacks,8.397
HandmadeByCozayh,-15.1,$145.404,"2,724","Sep 8, 2022",192,42,2.1%,6.289,4.9,15.9%,96.164,"1,822,200",0,US,USD,46mo,Dangle & Drop Earrings,Charm Necklaces,9.448
wunderwunsch,-5.5,$143.193,"6,386","May 4, 2020","1,424",46,3.2%,116.171,4.9,15.8%,656.698,"20,515,518",0,DE,EUR,74mo,Baby & Toddler Toys,Cutting Boards,45
GiftsToEngrave,25.6,$138.870,"2,776","Feb 18, 2022",18,0,4.1%,41.338,5.0,26.5%,66.295,"3,623,178",0,US,USD,53mo,Cutting Boards,Gifts For The Couple,1.010
MJsOffTheHookDesigns,-1.8,$136.178,"8,430","Aug 30, 2017",426,11,4.2%,41.871,4.9,7.9%,723.871,"12,520,150",426,CA,CAD,106mo,Patterns & Blueprints,Afghans,87
KayKaysplanties,13.9,$133.677,"5,135","Apr 9, 2026",243,31,3.1%,4.081,4.8,24.2%,31.334,"474,230",0,US,USD,3mo,House Plants,-,22.294
SarahEliseJewelry,1.9,$132.993,302,"Jun 27, 2020","2,387",30,0.5%,24.300,4.9,33.3%,700.767,"15,343,547",0,US,USD,72mo,Stackable Rings,Charm Necklaces,3.889
PersonalizationMall,-24.9,$127.806,"2,977","Jul 6, 2015","4,298",67,3.5%,151.543,4.9,18.5%,588.722,"20,058,025",0,US,USD,132mo,Ornaments,Mugs,35
MercansilverTR,14.2,$122.811,788,"Nov 5, 2020","7,078",1.016,0.6%,9.829,4.7,39.1%,198.102,"4,544,677",0,TR,USD,68mo,Statement Rings,Chain & Link Bracelets,15.909
VibeCraftedsStudio,34.1,$118.264,"7,287","Mar 24, 2025","1,184",124,4.8%,1.312,4.9,4.4%,50.658,"643,800",654,BR,USD,15mo,Digital Prints,T-shirts,13.154
SelineLounge,27.7,$114.344,"2,012","May 22, 2017",261,0,2.7%,25.841,4.8,10.0%,181.344,"8,421,340",0,US,USD,109mo,Bridesmaids' Gifts,Bridesmaid Proposals,377
Lamoriea,1.7,$112.176,"5,240","Nov 9, 2020","1,375",36,3.4%,80.683,4.8,15.6%,278.130,"14,868,480",0,GB,GBP,68mo,Tumblers & Water Glasses,Bridesmaids' Gifts,95
28Collective,-12.3,$112.034,"2,059","May 22, 2019","1,493",11,3.3%,54.912,4.9,21.2%,189.093,"6,777,069",4,US,USD,85mo,Picture Frames,Wind Chimes,371
Twistedpendant,-8.3,$109.897,"3,413","Nov 26, 2019","3,105",74,1.5%,47.497,4.7,13.6%,579.513,"22,078,302",0,GB,GBP,79mo,Pendant Necklaces,Chains,205
TieDapperStudio,14.3,$108.534,"4,280","Aug 11, 2023",238,43,3.0%,11.703,4.8,13.1%,60.089,"2,480,581",0,US,USD,35mo,Backpacks,Baskets,2.812
GoldHillJewelry,-24.7,$108.393,"2,153","Sep 10, 2019",388,4,2.1%,35.944,4.7,15.3%,316.358,"10,648,170",0,US,USD,82mo,Monogram & Name Necklaces,Pendant Necklaces,470
VisibleArt,16.6,$108.010,704,"Sep 1, 2015",962,23,0.5%,16.373,4.9,30.4%,442.112,"8,749,711",0,BG,EUR,130mo,Dresses,Tunics,6.125
YourNamesJewelry,-27.9,$106.960,"2,340","Apr 2, 2018",363,0,2.3%,41.143,4.8,15.0%,340.190,"11,968,575",0,US,USD,99mo,Monogram & Name Necklaces,Charm Necklaces,329
WarungBeads,-5.2,$106.561,"21,403","May 15, 2019","16,300",415,4.9%,129.843,4.9,8.2%,2.237.127,"24,421,282",0,US,USD,86mo,Charms,Clasps & Clips,6
UnmeasuredEvent,0.8,$106.238,"1,968","Jan 29, 2017","10,327",410,2.6%,32.803,4.9,6.6%,895.336,"19,986,445","7,878",US,USD,113mo,Banners & Signs,Party Games,101
SSweddings,0.4,$105.908,"2,245","Apr 29, 2017",282,6,3.0%,43.159,4.8,11.0%,246.113,"11,306,264",0,US,USD,110mo,Bridesmaids' Gifts,Bags & Purses,165
BrassluxCrafts,0.0,$105.803,307,"Jul 15, 2025",125,3,1.8%,342,4.9,10.6%,6.716,"191,863",0,US,USD,12mo,"Faucets, Handles & Showerheads",Drawer Knobs & Pulls,35.081
SHANIKStore,-28.6,$105.221,710,"Aug 11, 2020",334,180,1.2%,15.084,4.8,20.4%,96.477,"3,074,249",1,US,USD,71mo,Jewelry Boxes,Trays & Platters,3.806
vidhyajewelsindia,-9.3,$103.526,893,"May 7, 2023","3,003",333,1.2%,2.773,4.5,28.5%,84.197,"832,950",0,IN,USD,38mo,Statement Rings,Dangle & Drop Earrings,28.835
BacheloretteTowel,1.5,$103.464,"2,688","Oct 5, 2022",173,3,5.8%,11.440,5.0,12.2%,23.973,"1,121,258",0,US,USD,45mo,Beach Towels,Bath Towels,2.629
CRsofaman,2.4,$102.731,"1,084","Oct 16, 2020",476,8,1.0%,8.640,4.9,19.6%,37.121,"4,155,095",0,CN,USD,69mo,Slipcovers,-,8.158
MrsQCreation,-2.0,$100.724,"1,765","Mar 26, 2022",180,2,2.3%,19.386,4.8,16.9%,252.737,"4,658,425",0,US,USD,51mo,Dangle & Drop Earrings,Charm Necklaces,1.783
tanaygemsandjewels,-3.6,$100.191,"1,230","Jun 11, 2015","6,769",158,1.8%,20.449,4.6,26.5%,390.395,"3,972,238",0,US,USD,133mo,Pendant Necklaces,Necklaces,3.558
BRENNMORE,-27.0,$97.631,353,"Sep 15, 2020","1,352",264,0.3%,22.415,4.8,29.5%,854.012,"18,481,742",0,GB,USD,70mo,Wedding Bands,Pendant Necklaces,3.637
AVIRJewelryNY,-13.5,$94.623,71,"Aug 4, 2023",369,9,0.2%,1.089,4.9,29.5%,23.823,"1,206,260",0,US,USD,35mo,Bracelets,Stud Earrings,34.671
MichelleLeeStudioGB,16.1,$93.981,"3,529","Mar 16, 2019","1,097",31,1.7%,92.048,4.9,23.0%,1.191.930,"16,117,253",0,GB,GBP,88mo,Pendant Necklaces,Stud Earrings,161
MWSStudio,-2.2,$92.490,186,"Feb 10, 2016",63,0,0.4%,2.958,4.9,23.4%,30.039,"2,703,388",0,US,USD,125mo,Desks,Kitchen & Dining Tables,25.790
GoodRingsUSA,5.0,$91.202,390,"Jan 11, 2022",264,0,0.9%,4.185,5.0,31.5%,58.213,"1,249,148",0,US,USD,54mo,Wedding Bands,Necklaces,25.238
MasterOfPurification,35.2,$90.312,"3,351","Jan 15, 2020",40,11,23.1%,3.396,4.5,4.9%,1.426,"38,412",1,US,EUR,78mo,Psychic Readings,-,4.285
PersonalNestStudio,-10.0,$90.161,"1,186","Dec 19, 2025",38,1,2.2%,495,4.7,13.7%,15.072,"167,866",0,NZ,NZD,7mo,Ring Dishes,Mugs,34.802
SilverArtisan2024,13.3,$90.035,"1,970","Nov 16, 2022",311,5,1.8%,4.125,4.3,18.8%,85.728,"1,133,457",0,IN,INR,44mo,Statement Rings,Bangles,18.029
CraftedHarmonyCreate,-17.5,$89.714,"2,209","Oct 23, 2024",150,27,1.9%,5.534,4.9,22.2%,55.160,"1,285,430",0,US,USD,20mo,Pendant Necklaces,Charm Bracelets,16.152
