"Tag","Opportunity Score","Top Category","Competition Score","Velocity Score","Demand Score","Avg Age","Avg Total Sales","Total Listings","Total Shops","Avg Total Revenue","Avg Monthly Views"
wood burning craft,"96,75",Plywood & Panels,100,"96,4","94,37","38,86","4.663,06",50,9,"2.388,76",5
easy breathing,"91,01",Face Masks & Coverings,100,"64,27","98,46","49,81","3.831,89",76,34,"32.319,56",908
stamp self-inking,0,Stamps,100,0,0,"31,03","3.236,14",50,19,"39.539,75",1.916
lip labret ring,"91,38",Nose Rings & Studs,100,"63,27","99,99","32,34","2.883,37",76,12,"30.898,68",1.999
cool emblems,"34,45",Patches,100,0,0,"45,75","2.743,84",61,2,"27.204,47",30
dog on socks,"87,91",Socks & Hosiery,100,"42,86","99,52","40,06","2.511,32",56,31,"35.653,03",1.540
name hangers,"91,45",Bridesmaids' Gifts,100,"74,18","99,73","48,79","2.370,89",144,61,"24.746,52",721
macrame patio chair,35,Patterns & Blueprints,100,0,0,"76,01","2.111,46",50,3,"6.245,01",14
20g push pin,"93,88",Stud Earrings,100,"69,95","99,76","56,12","2.089,3",53,4,"26.896,4",1.287
carocreated,"34,4",Tutorials,100,0,0,"96,7","2.023,38",60,5,"21.479,11",944
22 20 18 gauge,"89,41",Hoop Earrings,100,"49,27","99,78","53,64","1.946,32",56,5,"29.906,39",1.206
seamless endless,"90,03",Hoop Earrings,100,"53,3","99,82","50,22","1.862,02",59,8,"28.526,19",1.205
picture frame 11x14,"92,02",Picture Frames,100,"61,98","99,81","49,53","1.832,51",51,14,"31.503,95",831
namepalte necklace,"89,16",Monogram & Name Necklaces,100,"46,44","99,98","20,2","1.830,38",61,37,"69.452,96",2.359
guitar picks name,"88,09",Picks,100,"42,89","99,92","23,41","1.789,28",57,29,"8.586,55",1.366
house numbers modern,"87,03",Address Signs,100,"46,2","97,05","55,09","1.702,64",75,25,"14.928,47",454
mix mixed colors,"88,69",Ear Wires & Hooks,100,"46,55","99,27","46,92","1.701,96",55,4,"2.871,38",425
yellow flower hat,76,Hats & Caps,100,"71,97","60,35","34,03","1.691,57",65,52,"59.165,04",10
engraving pick case,"87,9",Picks,100,"42,75","99,9","22,47","1.655,97",62,31,"8.038,15",1.322
aradiyatoys pattern,0,Tutorials,100,0,0,"54,66","1.654,3",54,11,"13.713,36",882
seamless hinged,"93,72",Hoop Earrings,100,"69,04","99,93","33,8","1.644,18",50,14,"36.155,41",2.431
diy custom mason jar,"88,19",Jars & Containers,100,"42,96","99,62","44,05","1.639,02",54,10,"21.149,72",1.657
craft project wood,"85,65",Forms & Shapes,100,"70,29","88,61",56,"1.625,86",148,9,"879,96",14
guitar picks custom,"87,9",Picks,100,"42,98","99,91","22,72","1.623,4",63,33,"7.868,74",1.280
engrave guitar picks,"87,76",Picks,100,"42,81","99,89","31,37","1.617,67",64,30,"7.742,32",928
