"Listing Title","Price","Total Sales","Gross Sales","Age"
Weight Loss & Fitness Tracker | Google Sheets | Calorie Tracker | Meal Planner | Habit Tracker | Digital Workout Planner,$3,9.470,$23.675,Invalid Date
"Service Business CRM Dashboard: Bookkeeping, Tasks & Invoice Tracker — Google Sheets, Excel",$30,6.201,$183.674,Invalid Date
Routine A4 enfant matin et soir personnalisée au prénom de l'enfant - Autonomie et motivation de l'enfant,$15,6.774,$100.526,Invalid Date
"Mystery Sticker pack - Pinterest aesthetic stickers, Junk journal stickers, Retro/vintage stickers, planner stickers, Scrapbook stickers",$4,5.986,$23.944,Invalid Date
Monthly Budget Spreadsheet | Blush Pink Palette | Simple Annual Budget | Personal Finances | Easy Google Sheets | Financial Planner Easy,$3,10.174,$25.435,Invalid Date
Easy Bookkeeping Template | Small Business Finance Spreadsheet | Income and Expense Tracker | Profit and Loss | Accounting Google Sheets,$3,6.825,$17.063,Invalid Date
"Digital Reading Journal, Digital Reading Planner, Reading Digital Planner, Goodnotes, Reading Tracker, Reading Log, Book Review, Book Shelf",$24,5.434,$132.807,Invalid Date
Digital Planner 2026 for GoodNotes iPad Android Notability | Entire Shop Bundle,$19,5.907,$114.773,Invalid Date
Budget Planner Google Sheet Monthly Budget Spreadsheet Paycheck Budget Template Simple Weekly Financial Planner Beginners Biweekly Budgeting,$2,15.461,$30.613,Invalid Date
"All-in-One Digital Planner 2026, 2027, 2028 Digital Planner, Digital Journal, Digital Goodnotes Template, Weekly, Daily Planner, Notability",$4,23.189,$91.828,Invalid Date
